"","soc_uni","soc","original_title","new_occ_title","new_occ_description","new_occ_word","new_occ_definition"
"296","49-3042","49-3042.00","Mobile Heavy Equipment Mechanics, Except Engines","Mechanics test and fix machines that move, press, and lift things. That includes cranes, bulldozers, conveyors, and more. They make sure equipment is safe and working well.","Mechanics test and fix machines that move, press, and lift things. That includes cranes, bulldozers, conveyors, and more. They make sure equipment is safe and working well.","Conveyors","Machines that move products from one place to another, often rolling them along a belt."
"297","17-2041","17-2041.00","Chemical Engineers","Engineers think of ways to make chemicals and products. They design equipment to help make plastic, rubber, and more. The use the main ideas of chemistry.","Engineers think of ways to make chemicals and products. They design equipment to help make plastic, rubber, and more. The use the main ideas of chemistry.","Design","To come up with a plan or pattern."
"298","17-2161","17-2161.00","Nuclear Engineers","Engineers think of ways to make, control, and use nuclear energy. They think of ways to store nuclear waste. They use and study the main ideas of nuclear science.","Engineers think of ways to make, control, and use nuclear energy. They think of ways to store nuclear waste. They use and study the main ideas of nuclear science.","Nuclear","A very powerful form of energy used for weapons, medicine, and fuel."
"304","35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","Helpers work in dining rooms, cafeterias, and bars. They help food and drink servers. They set and clean tables. They take away dirty dishes. They put out clean dishes, glasses, napkins, and tablecloths. They serve water, coffee, and condiments. They keep bars and food stands filled with needed items.","Helpers work in dining rooms, cafeterias, and bars. They help food and drink servers. They set and clean tables. They take away dirty dishes. They put out clean dishes, glasses, napkins, and tablecloths. They serve water, coffee, and condiments. They keep bars and food stands filled with needed items.","Condiments","Things that add a special flavor to food. Can include mustard, ketchup, salt, pepper, and spices."
"307","37-3011","37-3011.00","Landscaping and Groundskeeping Workers","Landscapers and groundskeepers work outdoors. They use hand or power tools and equipment. They do many tasks to keep outdoor areas looking good. They lay down grass and sod. They mow lawns and plant flowers, trees, and bushes. They water, weed, and feed plantings. They dig, rake, and trim plantings.","Landscapers and groundskeepers work outdoors. They use hand or power tools and equipment. They do many tasks to keep outdoor areas looking good. They lay down grass and sod. They mow lawns and plant flowers, trees, and bushes. They water, weed, and feed plantings. They dig, rake, and trim plantings.",".",NA
"309","39-3091","39-3091.00","Amusement and Recreation Attendants","Workers at amusement, sport, and recreation parks do a number of tasks. Some workers set up times for people to use the parks. Some make sure the equipment, grounds, and rides stay working well. Some run the rides or game booths. Some sell food or give out equipment that users need.","Workers at amusement, sport, and recreation parks do a number of tasks. Some workers set up times for people to use the parks. Some make sure the equipment, grounds, and rides stay working well. Some run the rides or game booths. Some sell food or give out equipment that users need.","Recreation","A fun pastime."
"311","41-2021","41-2021.00","Counter and Rental Clerks","Counter and rental clerks take orders for repairs, rentals, goods, and services. They tell customers what services are offered. They add up costs and take payments. They often work in-person at counters or stores.","Counter and rental clerks take orders for repairs, rentals, goods, and services. They tell customers what services are offered. They add up costs and take payments. They often work in-person at counters or stores.","Goods","Things people buy."
"312","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","Caretakers work with farm and ranch animals that are raised to make products. Those products include food, fur, skins, and feathers. Some caretakers work with cattle, sheep, pigs, horses, fish, chickens, or bees. Some feed, water, and herd animals. Some castrate, de-beak, weigh, and cut fur from animals. Some check animals for illness and injuries. Some help with births, give medicine, or keep records. Some clean animal holding areas.","Caretakers work with farm and ranch animals that are raised to make products. Those products include food, fur, skins, and feathers. Some caretakers work with cattle, sheep, pigs, horses, fish, chickens, or bees. Some feed, water, and herd animals. Some castrate, de-beak, weigh, and cut fur from animals. Some check animals for illness and injuries. Some help with births, give medicine, or keep records. Some clean animal holding areas.","De-beak","Remove the beak from a bird."
"319","51-3023","51-3023.00","Slaughterers and Meat Packers","Slaughterers and meat packers prepare meat for sale. Some kill livestock. Some cut, trim, skin, sort, and wash animal carcasses or parts to make food products. Some make sausages. Some grind or wrap meats.","Slaughterers and meat packers prepare meat for sale. Some kill livestock. Some cut, trim, skin, sort, and wash animal carcasses or parts to make food products. Some make sausages. Some grind or wrap meats.","Livestock","Animals kept or raised on a farm or ranch."
"320","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","Laundry and dry-cleaning workers wash cloth items. They run or tend washing and dry-cleaning machines. They clean items like clothes, furs, blankets, and carpets. Some press, dye, fold, or sort laundry.","Laundry and dry-cleaning workers wash cloth items. They run or tend washing and dry-cleaning machines. They clean items like clothes, furs, blankets, and carpets. Some press, dye, fold, or sort laundry.","Tend","To look after."
"322","27-1023","27-1023.00","Floral Designers","Florists work with flowers and plants. They design bouquets of flowers for sale. They cut and arrange live, dried, or fake flowers and plants.","Florists work with flowers and plants. They design bouquets of flowers for sale. They cut and arrange live, dried, or fake flowers and plants.","Design","To come up with a plan or pattern."
"339","35-2012","35-2012.00","Cooks - Institution and Cafeteria","Some cooks work for institutions such as schools, hospitals, or cafeterias. They prepare a lot of food at one time. The cook for many people at once.","Some cooks work for institutions such as schools, hospitals, or cafeterias. They prepare a lot of food at one time. The cook for many people at once.","Cafeterias","Dining halls where food is served at counters. Diners choose food and drinks and take them to tables themselves."
"346","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","Pesticide handlers treat plants and food crops with chemicals. The chemicals kill pests, insects, weeds, fungus, and other things. Some handlers spray chemicals. Some use dusts and gases or put chemicals in the ground. They treat trees, bushes, lawns, and crops. They often need special training and a license.","Pesticide handlers treat plants and food crops with chemicals. The chemicals kill pests, insects, weeds, fungus, and other things. Some handlers spray chemicals. Some use dusts and gases or put chemicals in the ground. They treat trees, bushes, lawns, and crops. They often need special training and a license.","Fungus","Fast-growing mold or mushroom."
"349","39-1012","39-1012.00","Slot Supervisors","Supervisors run slot machine departments. They reset machines after payoffs. They check payoffs and give money to winners. They fix or adjust slot machines. They check if machines need repair. They make sure safety rules are followed. They handle and settle complaints.","Supervisors run slot machine departments. They reset machines after payoffs. They check payoffs and give money to winners. They fix or adjust slot machines. They check if machines need repair. They make sure safety rules are followed. They handle and settle complaints.","Complaints","Reasons someone is not happy or pleased."
"356","39-4021","39-4021.00","Funeral Attendants","Funeral attendants help at funerals. They put out the casket before the service. They set up flowers and lights. They show mourners where to go. They close the casket. They put away and store funeral equipment.","Funeral attendants help at funerals. They put out the casket before the service. They set up flowers and lights. They show mourners where to go. They close the casket. They put away and store funeral equipment.","Casket","Coffin that holds body of person who has died."
"357","39-5092","39-5092.00","Manicurists and Pedicurists","Manicurists and pedicurists work in the beauty field. They care for people’s hand and feet. They clean and shape fingernails and toenails. Some paint, polish, or decorate nails.","Manicurists and pedicurists work in the beauty field. They care for people’s hand and feet. They clean and shape fingernails and toenails. Some paint, polish, or decorate nails.","Pedicurist","Person who cares for people’s feet."
"368","43-4051","43-4051.00","Customer Service Representatives","Service workers help fix problems that customers have. They answer questions. They make returns. They handle complaints.","Service workers help fix problems that customers have. They answer questions. They make returns. They handle complaints.","Returns","Items that are bought and then brought back to stores for a refund."
"372","43-4151","43-4151.00","Order Clerks","Clerks take and fill orders. Orders can be for goods or services. Clerks take orders by phone, fax, or online. They tell buyers how much things cost and when orders will ship. They send receipts and contracts. Some handle complaints.","Clerks take and fill orders. Orders can be for goods or services. Clerks take orders by phone, fax, or online. They tell buyers how much things cost and when orders will ship. They send receipts and contracts. Some handle complaints.","Goods","Things people buy."
"378","43-5032","43-5032.00","Dispatchers, Except Police, Fire, and Ambulance","Dispatchers send workers, drivers, and work crews out on jobs. They set up times for work to get done. Some set up deliveries and repairs. They check the progress of work being done. Some use radios, phones, or computers to get in touch with workers.  ","Dispatchers send workers, drivers, and work crews out on jobs. They set up times for work to get done. Some set up deliveries and repairs. They check the progress of work being done. Some use radios, phones, or computers to get in touch with workers.  ","Delivery","An order that is brought to the buyer."
"417","49-9052","49-9052.00","Telecommunications Line Installers and Repairers","Installers and repair workers set up and fix telecommunications lines. Those include wires and lines that carry TV, Internet, and phone signals. Workers put in, test, and join the lines. They work with broadband, cable, and fiber optics.","Installers and repair workers set up and fix telecommunications lines. Those include wires and lines that carry TV, Internet, and phone signals. Workers put in, test, and join the lines. They work with broadband, cable, and fiber optics.","Telecommunications","Ways to send information from one place to another."
"423","51-2091","51-2091.00","Fiberglass Laminators and Fabricators","Workers put layers of fiberglass onto molds. They put special coatings and waxes onto the fiberglass. They heat, press, and mix the fiberglass. They use it to make the outsides of cars, boats, golf carts, and more.","Workers put layers of fiberglass onto molds. They put special coatings and waxes onto the fiberglass. They heat, press, and mix the fiberglass. They use it to make the outsides of cars, boats, golf carts, and more.","Molds","Hollow forms that give objects a certain shape."
"428","51-3092","51-3092.00","Food Batchmakers","Makers use and set up equipment to make large amounts of food. The machines mix and blend ingredients. Makers mix cheese, candy, and more.","Makers use and set up equipment to make large amounts of food. The machines mix and blend ingredients. Makers mix cheese, candy, and more.","Bulk","A big amount."
"430","51-4051","51-4051.00","Metal-Refining Furnace Operators and Tenders","Refiners use furnaces to melt and refine metal. They make different kinds of steel. They use gas, oil, coal, and electric furnaces.","Refiners use furnaces to melt and refine metal. They make different kinds of steel. They use gas, oil, coal, and electric furnaces.","Furnace","A kind of oven that gets very hot."
"436","51-8093","51-8093.00","Petroleum Pump System Operators, Refinery Operators, and Gaugers","Workers use equipment to refine oil. Some workers control pumps and gauges. Some test oil. Some control oil flow through pipelines.","Workers use equipment to refine oil. Some workers control pumps and gauges. Some test oil. Some control oil flow through pipelines.","Refine","To make pure or clean."
"437","51-9012","51-9012.00","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Workers use machines that filter, shake, and spin products. They use machines that separate solids, liquids, and gases. They do so to sort and refine products. They set up machines and keep them running.","Workers use machines that filter, shake, and spin products. They use machines that separate solids, liquids, and gases. They do so to sort and refine products. They set up machines and keep them running.","Separate","To set apart, to put apart."
"440","51-9083","51-9083.00","Ophthalmic Laboratory Technicians","Lab techs make eyeglasses, contact lenses, and other eye wear. They cut, grind, and polish lenses and frames. They put lenses into eyeglass frames. They use machines and equipment.","Lab techs make eyeglasses, contact lenses, and other eye wear. They cut, grind, and polish lenses and frames. They put lenses into eyeglass frames. They use machines and equipment.","Lenses","Clear glass or plastic worn over the eye to improve eyesight."
"442","51-9121","51-9121.00","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Setters use machines to coat or paint products. Those products include glass, cloth, clay, metal, plastic, paper, wood, and more. Workers spray on paint, oil, or coatings that protect or improve a product’s surface.","Setters use machines to coat or paint products. Those products include glass, cloth, clay, metal, plastic, paper, wood, and more. Workers spray on paint, oil, or coatings that protect or improve a product’s surface.","Surface","The outside of something."
"444","51-9123","51-9123.00","Painting, Coating, and Decorating Workers","Workers coat and paint furniture, glass, jewelry, toys, plates, leather, and more. They paint and coat things to protect them and make them look pretty.","Workers coat and paint furniture, glass, jewelry, toys, plates, leather, and more. They paint and coat things to protect them and make them look pretty.","Coat","To cover the outside of something."
"448","53-1011","53-1011.00","Aircraft Cargo Handling Supervisors","Supervisors watch over ground crew workers. Workers load, unload, and arrange baggage and cargo for aircraft. Some supervisors travel with an aircraft to handle cargo in flight. Some help to weigh and balance cargo. Some help flyers.","Supervisors watch over ground crew workers. Workers load, unload, and arrange baggage and cargo for aircraft. Some supervisors travel with an aircraft to handle cargo in flight. Some help to weigh and balance cargo. Some help flyers.","Arrange","Put something in order; fit together."
"455","53-3033","53-3033.00","Light Truck or Delivery Services Drivers","Drivers steer light trucks or vans. They drive vehicles that carry less than 26,000 pounds. They pick up or drop off goods and orders. Some drivers load and unload the truck.","Drivers steer light trucks or vans. They drive vehicles that carry less than 26,000 pounds. They pick up or drop off goods and orders. Some drivers load and unload the truck.","Delivery","An order that is brought to the buyer."
"462","53-6031","53-6031.00","Automotive and Watercraft Service Attendants","Servicers do routine work on vehicles and boats. They add gas, change oil, and add fluids. They replace lights, windshield wipers, and fan belts. Some fix and replace tires. They collect payment for services and supplies.","Servicers do routine work on vehicles and boats. They add gas, change oil, and add fluids. They replace lights, windshield wipers, and fan belts. Some fix and replace tires. They collect payment for services and supplies.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"474","Nov-61","Nov-61.00","Funeral Service Managers","Managers run and plan services at funeral homes. They set prices. They plan funerals. Some meet with mourners. They give workers tasks to do. They keep things running smoothly.","Managers run and plan services at funeral homes. They set prices. They plan funerals. Some meet with mourners. They give workers tasks to do. They keep things running smoothly.","Mourners","People who are grieving a death."
"476","13-1022","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","Buyers order goods that will be sold to customers. They study buying trends and sales records. They study the price and quality of goods. They decide what will sell well. They pick out, order, and set up payment for goods. They sign contracts. Some tell sales staff about new products.","Buyers order goods that will be sold to customers. They study buying trends and sales records. They study the price and quality of goods. They decide what will sell well. They pick out, order, and set up payment for goods. They sign contracts. Some tell sales staff about new products.","Goods","Things people buy."
"481","17-3027","17-3027.00","Mechanical Engineering Technicians","Techs use the main ideas of mechanical engineering. They build, test, and set machines. They work for engineering staff or physical scientists.","Techs use the main ideas of mechanical engineering. They build, test, and set machines. They work for engineering staff or physical scientists.","Tech","Short for technician."
"482","19-4031","19-4031.00","Chemical Technicians","Lab techs do chemical testing. They test solids, liquids, and gases. They help scientists. They do research. They think of new products or new ways of doing things. They check quality and standards. They use chemistry and other sciences.","Lab techs do chemical testing. They test solids, liquids, and gases. They help scientists. They do research. They think of new products or new ways of doing things. They check quality and standards. They use chemistry and other sciences.","Tech","Short for technician."
"483","23-2091","23-2091.00","Court Reporters","Reporters use methods and equipment to exactly copy what is said in court. They do so for trials and hearings. Some use special computer equipment. Some type the closed captions used on TV broadcasts for deaf viewers.","Reporters use methods and equipment to exactly copy what is said in court. They do so for trials and hearings. Some use special computer equipment. Some type the closed captions used on TV broadcasts for deaf viewers.","Exactly","Without changes or mistakes."
"484","25-1194","25-1194.00","Vocational Education Teachers, Postsecondary","Vocational teachers work with students who have left high school. They train students for jobs in the workforce. They teach them how to use equipment and machines. They train students for certain careers. Some teach at public or private schools. Some teach in schools linked to trades.","Vocational teachers work with students who have left high school. They train students for jobs in the workforce. They teach them how to use equipment and machines. They train students for certain careers. Some teach at public or private schools. Some teach in schools linked to trades.","Post","After."
"489","27-4011","27-4011.00","Audio and Video Equipment Technicians","Workers set up and use audio and video equipment. That includes microphones, speakers, screens, sound boards, and more. Some set up and use spotlights. They work at concerts, sporting events, large meetings, and elsewhere.","Workers set up and use audio and video equipment. That includes microphones, speakers, screens, sound boards, and more. Some set up and use spotlights. They work at concerts, sporting events, large meetings, and elsewhere.","Video","Recordings of moving pictures."
"490","27-4014","27-4014.00","Sound Engineering Technicians","Workers use equipment to record and mix music, voices, and sound effects. Some work in theaters. Some work in recording studios. Some work at sporting events. Some work on TV and movie sets.  ","Workers use equipment to record and mix music, voices, and sound effects. Some work in theaters. Some work in recording studios. Some work at sporting events. Some work on TV and movie sets.  ","Tech","Short for technician."
"492","29-1124","29-1124.00","Radiation Therapists","Therapists give radiation treatments to patients. They follow doctors’ orders. They run radiation machines. They get equipment ready for use. They check treatment orders. They keep and update records, reports, and files. They work with doctors, techs, and patients.","Therapists give radiation treatments to patients. They follow doctors’ orders. They run radiation machines. They get equipment ready for use. They check treatment orders. They keep and update records, reports, and files. They work with doctors, techs, and patients.","Radiation","Energy used to get rid of harmful things in the body."
"493","29-1126","29-1126.00","Respiratory Therapists","Therapists treat and care for people with breathing problems. They check how well patients can breathe. They choose, check, and run breathing machines and treatments for patients. They oversee techs. They keep and update records.","Therapists treat and care for people with breathing problems. They check how well patients can breathe. They choose, check, and run breathing machines and treatments for patients. They oversee techs. They keep and update records.","Respiratory","Having to do with breathing."
"495","29-2012","29-2012.00","Medical and Clinical Laboratory Technicians","Techs work in healthcare settings and labs. They run tests to diagnose, treat, and prevent disease. They follow the orders of a supervisor.  ","Techs work in healthcare settings and labs. They run tests to diagnose, treat, and prevent disease. They follow the orders of a supervisor.  ","Lab","Short for laboratory. A place where tests are done."
"497","29-2031","29-2031.00","Cardiovascular Technologists and Technicians","Techs  run tests on patients who have problems with their lungs, heart, or veins. Technologists do more highly-skilled tasks than techs.","Techs  run tests on patients who have problems with their lungs, heart, or veins. Technologists do more highly-skilled tasks than techs.","Cardio","Short for cardiovascular. Having to do with the heart and veins."
"498","29-2032","29-2032.00","Diagnostic Medical Sonographers","Testers use ultrasound equipment. They record the workings of patients’ internal organs. They make recordings for doctors’ use.","Testers use ultrasound equipment. They record the workings of patients’ internal organs. They make recordings for doctors’ use.","Ultrasound","A machine that uses sound waves."
"499","29-2033","29-2033.00","Nuclear Medicine Technologists","Technologists give patients radioactive medicine for tests and treatment. They get the medicine ready. They prepare the dose. They use testing and treatment equipment. They follow testing methods and guidelines. They check patients’ blood and cells for problems.","Technologists give patients radioactive medicine for tests and treatment. They get the medicine ready. They prepare the dose. They use testing and treatment equipment. They follow testing methods and guidelines. They check patients’ blood and cells for problems.","Radioactive","Using a powerful energy that can kill harmful cells."
"503","29-2052","29-2052.00","Pharmacy Technicians","Techs work in pharmacies. They get drugs ready for patients. They follow the orders of a pharmacist. They measure, mix, count, label and record doses of drugs.","Techs work in pharmacies. They get drugs ready for patients. They follow the orders of a pharmacist. They measure, mix, count, label and record doses of drugs.","Pharmacies","Places that store and sell drugs and medicine."
"505","29-2056","29-2056.00","Veterinary Technologists and Technicians","Techs  run tests used to diagnose and treat animals. They prepare medicine. They test urine, blood, and stool samples. They clean and take care of equipment. Some help vets during surgery. Technologists do more highly-skilled tasks than techs.","Techs  run tests used to diagnose and treat animals. They prepare medicine. They test urine, blood, and stool samples. They clean and take care of equipment. Some help vets during surgery. Technologists do more highly-skilled tasks than techs.","Tech","Short for technician."
"506","29-2057","29-2057.00","Ophthalmic Medical Technicians","Techs help eye doctors. Some give eye tests to patients. Some give eye medicine to patients. They tell patients how to care for and use eyeglasses and contact lenses.","Techs help eye doctors. Some give eye tests to patients. Some give eye medicine to patients. They tell patients how to care for and use eyeglasses and contact lenses.","Ophthalmic","Having to do with the eye."
"511","29-9012","29-9012.00","Occupational Health and Safety Technicians","Techs collect data about workplace health and safety. They run and test programs to lower workers’ risks.  ","Techs collect data about workplace health and safety. They run and test programs to lower workers’ risks.  ","Tech","Short for technician."
"517","31-9092","31-9092.00","Medical Assistants","Assistants work with doctors. They follow doctors’ orders. They do office work and healthcare work. They set up times for patient visits. They keep and update records, billing, and coding data. They deal with insurance. Some take and record patients’ medical histories and vital signs. Some get patients ready for tests. Some draw blood and give medicine.","Assistants work with doctors. They follow doctors’ orders. They do office work and healthcare work. They set up times for patient visits. They keep and update records, billing, and coding data. They deal with insurance. Some take and record patients’ medical histories and vital signs. Some get patients ready for tests. Some draw blood and give medicine.","Vital signs","Basic health information, such as pulse, blood pressure, temperature."
"529","39-9041","39-9041.00","Residential Advisors","Advisors work in live-in settings like college dorms and group homes. Some help residents with problems. Some keep records and tell residents what rooms to live in. Some order supplies. Some report any needed repairs.","Advisors work in live-in settings like college dorms and group homes. Some help residents with problems. Some keep records and tell residents what rooms to live in. Some order supplies. Some report any needed repairs.","Advisor","Someone who offers help."
"530","41-3011","41-3011.00","Advertising Sales Agents","Agents use ads to make the public want to buy certain products. They put ads in print, on Web sites, and on signs. They fill time spots on TV and radio shows. They get store owners to put up displays to sell certain products.  ","Agents use ads to make the public want to buy certain products. They put ads in print, on Web sites, and on signs. They fill time spots on TV and radio shows. They get store owners to put up displays to sell certain products.  ","Ads","Short for advertisements."
"535","43-5061","43-5061.00","Production, Planning, and Expediting Clerks","Clerks keep the production process running smoothly. They plan the timelines and deadlines for work to get done. They make sure work stays on time. They think of ways to speed up the process. They file reports. They keep track of progress.","Clerks keep the production process running smoothly. They plan the timelines and deadlines for work to get done. They make sure work stays on time. They think of ways to speed up the process. They file reports. They keep track of progress.","Process","Steps toward a goal."
"538","47-2011","47-2011.00","Boilermakers","Workers build, make, clean, and fix boilers and furnaces. They use hand and power tools. Some follow blueprints. Some check to make sure boilers are working right.","Workers build, make, clean, and fix boilers and furnaces. They use hand and power tools. Some follow blueprints. Some check to make sure boilers are working right.","Furnace","A kind of oven that gets very hot."
"541","49-2022","49-2022.00","Telecommunications Equipment Installers and Repairers, Except Line Installers","Techs set up and fix telecommunications equipment. They work in people’s homes and in businesses. They set up phones, cable TVs, Internet, and more.","Techs set up and fix telecommunications equipment. They work in people’s homes and in businesses. They set up phones, cable TVs, Internet, and more.","Tech","Short for technician."
"544","49-2093","49-2093.00","Electrical and Electronics Installers and Repairers, Transportation Equipment","Techs put in and fix equipment on trains, boats, and other vehicles. They work with electronics.","Techs put in and fix equipment on trains, boats, and other vehicles. They work with electronics.","Tech","Short for technician."
"551","49-9043","49-9043.00","Maintenance Workers, Machinery","Workers keep machines working well. They oil, fix, and change parts.","Workers keep machines working well. They oil, fix, and change parts.","Maintenance","The act of keeping something in good working order."
"567","13-2041","13-2041.00","Credit Analysts","Analysts study whether to give credit or lend money to a person or business. They study data. They study earning statements. They look at risks. They write reports.","Analysts study whether to give credit or lend money to a person or business. They study data. They study earning statements. They look at risks. They write reports.","Data","Facts, numbers, and information."
"568","13-2061","13-2061.00","Financial Examiners","Examiners make sure people and businesses follow laws and rules. Those rules have to do with money, securities, and real estate deals. Examiners look at and check records.","Examiners make sure people and businesses follow laws and rules. Those rules have to do with money, securities, and real estate deals. Examiners look at and check records.","Securities","Any proof of ownership or debt that has a money value. Includes stocks and bonds."
"569","13-2071","13-2071.00","Credit Counselors","Advisors teach people and businesses about debt. They teach about loans and credit. They help people make plans to spend, borrow, and save money. They offer advice.","Advisors teach people and businesses about debt. They teach about loans and credit. They help people make plans to spend, borrow, and save money. They offer advice.","Advisor","Someone who offers help."
"571","17-1021","17-1021.00","Cartographers and Photogrammetrists","Mapmakers study and make maps. They collect and use data and photographs taken from the air. Some make maps on a computer. Some make maps as teaching tools.","Mapmakers study and make maps. They collect and use data and photographs taken from the air. Some make maps on a computer. Some make maps as teaching tools.","Data","Facts, numbers, and information."
"572","17-3025","17-3025.00","Environmental Engineering Technicians","Techs use the main ideas of environmental engineering. They try to prevent, control, or fix environmental problems. They test and use equipment to do so. They work under an engineer or scientist.","Techs use the main ideas of environmental engineering. They try to prevent, control, or fix environmental problems. They test and use equipment to do so. They work under an engineer or scientist.","Tech","Short for technician."
"573","19-2021","19-2021.00","Atmospheric and Space Scientists","Scientists study the facts about weather and space. They collect and study data. They study satellites and radar. They write reports and weather forecasts. They are experts.","Scientists study the facts about weather and space. They collect and study data. They study satellites and radar. They write reports and weather forecasts. They are experts.","Satellite","A manmade device that circles in space and collects data."
"574","19-4092","19-4092.00","Forensic Science Technicians","Techs study physical evidence from crime scenes. That includes bullets, blood, fingerprints, hair, and more. They run tests to help police solve crimes. Some collect evidence. Some speak as expert witnesses in court. Some study only one kind of evidence, in detail.","Techs study physical evidence from crime scenes. That includes bullets, blood, fingerprints, hair, and more. They run tests to help police solve crimes. Some collect evidence. Some speak as expert witnesses in court. Some study only one kind of evidence, in detail.","Evidence","Clues left at a crime scene."
"575","21-1092","21-1092.00","Probation Officers and Correctional Treatment Specialists","Officers and specialists help people in jail or prison, on probation, or on parole. They help make treatment plans. They help offenders plan for release. They explain the rules that must be followed.","Officers and specialists help people in jail or prison, on probation, or on parole. They help make treatment plans. They help offenders plan for release. They explain the rules that must be followed.","Parole","A time when inmates can leave jail or prison early. They must follow special rules or return to jail or prison."
"582","27-1024","27-1024.00","Graphic Designers","Designers make artworks and logos to help sell products. They design packaging, displays, and more.","Designers make artworks and logos to help sell products. They design packaging, displays, and more.","Displays","Things set up for show."
"583","27-1025","27-1025.00","Interior Designers","Designers plan and furnish the insides of homes, buildings, and businesses. They come up with useful, pretty designs. They make places look better or work better.","Designers plan and furnish the insides of homes, buildings, and businesses. They come up with useful, pretty designs. They make places look better or work better.","Design","Pattern or plan."
"584","29-1125","29-1125.00","Recreational Therapists","Therapists plan and lead fun activities for patients. They work in hospitals, nursing homes, and other healthcare settings. They plan games, sports, trips, arts and crafts, and more.","Therapists plan and lead fun activities for patients. They work in hospitals, nursing homes, and other healthcare settings. They plan games, sports, trips, arts and crafts, and more.","Activity","Something to do."
"587","39-9032","39-9032.00","Recreation Workers","Workers take people and groups to do fun activities. They plan and lead games, sports, music, arts and crafts, camping, and more. They match up people with activities they will like.","Workers take people and groups to do fun activities. They plan and lead games, sports, music, arts and crafts, camping, and more. They match up people with activities they will like.","Activity","Something to do."
"590","53-7011","53-7011.00","Conveyor Operators and Tenders","Workers run and tend conveyors. They control the speed and movement of products on the conveyor.","Workers run and tend conveyors. They control the speed and movement of products on the conveyor.","Tend","To look after."
"591","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers","Examiners search through records to see if a home, building, or land can be sold. They find who owns the real estate. They look through public and private records, titles, and insurance files. They work for law firms, real estate offices, and insurers.","Examiners search through records to see if a home, building, or land can be sold. They find who owns the real estate. They look through public and private records, titles, and insurance files. They work for law firms, real estate offices, and insurers.","Title","Proof that you own something."
"592","25-4031","25-4031.00","Library Technicians","Techs help readers use the library. They show readers how to use computers, databases, and more. They answer questions and do simple research. They find and fix damaged items. They keep records, sort, and shelve items. They find and hand out items to library users. They also take back items and put them back in the right place. They help users get library cards. Some drive vans full of books around neighborhoods.","Techs help readers use the library. They show readers how to use computers, databases, and more. They answer questions and do simple research. They find and fix damaged items. They keep records, sort, and shelve items. They find and hand out items to library users. They also take back items and put them back in the right place. They help users get library cards. Some drive vans full of books around neighborhoods.","Tech","Short for technician."
"593","39-4031","39-4031.00","Morticians, Undertakers, and Funeral Directors","Undertakers help get bodies ready for funerals. Directors help plan funerals. They pick out people to carry the casket. They pick the person to lead the funeral. They help set up rides for mourners.","Undertakers help get bodies ready for funerals. Directors help plan funerals. They pick out people to carry the casket. They pick the person to lead the funeral. They help set up rides for mourners.","Mourners","People who are grieving a death."
"594","49-3042","49-3042.00","Mobile Heavy Equipment Mechanics, Except Engines","Mechanics test and fix machines that move, press, and lift things. That includes cranes, bulldozers, conveyors, and more. They make sure equipment is safe and working well.","Mechanics test and fix machines that move, press, and lift things. That includes cranes, bulldozers, conveyors, and more. They make sure equipment is safe and working well.","Crane","A tall machine with a long arm. Objects hang from a cable off the arm. The crane moves in all directions. There are many kinds of cranes."
"670","43-4151","43-4151.00","Order Clerks","Clerks take and fill orders. Orders can be for goods or services. Clerks take orders by phone, fax, or online. They tell buyers how much things cost and when orders will ship. They send receipts and contracts. Some handle complaints.","Clerks take and fill orders. Orders can be for goods or services. Clerks take orders by phone, fax, or online. They tell buyers how much things cost and when orders will ship. They send receipts and contracts. Some handle complaints.","Receipts","Written records showing that payments were made or money is owed."
"738","51-9083","51-9083.00","Ophthalmic Laboratory Technicians","Lab techs make eyeglasses, contact lenses, and other eye wear. They cut, grind, and polish lenses and frames. They put lenses into eyeglass frames. They use machines and equipment.","Lab techs make eyeglasses, contact lenses, and other eye wear. They cut, grind, and polish lenses and frames. They put lenses into eyeglass frames. They use machines and equipment.","Tech","Short for technician."
"753","53-3033","53-3033.00","Light Truck or Delivery Services Drivers","Drivers steer light trucks or vans. They drive vehicles that carry less than 26,000 pounds. They pick up or drop off goods and orders. Some drivers load and unload the truck.","Drivers steer light trucks or vans. They drive vehicles that carry less than 26,000 pounds. They pick up or drop off goods and orders. Some drivers load and unload the truck.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"760","53-6031","53-6031.00","Automotive and Watercraft Service Attendants","Servicers do routine work on vehicles and boats. They add gas, change oil, and add fluids. They replace lights, windshield wipers, and fan belts. Some fix and replace tires. They collect payment for services and supplies.","Servicers do routine work on vehicles and boats. They add gas, change oil, and add fluids. They replace lights, windshield wipers, and fan belts. Some fix and replace tires. They collect payment for services and supplies.","Services","Helpful acts, things that are done for other people."
